Player,2022 Salary,2022 Signing,G,GS,MIN,PTS,FGM,FGA,FG%,2PM,2PA,2P%,3PM,3PA,3P%,FTM,FTA,FT%,ORB,DRB,TRB,AST,TOV,STL,BLK,PF
Breanna Stewart B Stewart,228094,UFA,34,34,30.9,21.8,7.5,15.9,47.20%,5.5,10.7,51.80%,2,5.2,37.90%,4.8,5.8,83.70%,1.4,6.2,7.6,2.9,1.3,1.6,0.9,2.1
Kelsey Plum K Plum,180250,--,36,36,32.8,20.2,6.8,14.8,46.00%,3.6,7.3,50.00%,3.1,7.5,42.00%,3.5,4.1,83.90%,0.3,2.4,2.7,5.1,2.6,1,0.1,2.5
Skylar Diggins-Smith S Diggins-Smith,227900,--,30,30,34,19.7,6.9,16.2,42.90%,5.6,11.7,48.00%,1.3,4.5,29.60%,4.5,5.3,84.40%,0.9,3.1,4,5.5,2.7,1.5,1,2.7
Arike Ogunbowale A Ogunbowale,72141,--,30,30,31.4,19.7,6.8,17,40.00%,4,9.1,44.20%,2.8,7.9,35.20%,3.3,4.1,79.80%,0.6,2.7,3.3,3.6,1.8,1.5,0.1,2.2
A'ja Wilson A Wilson,196267,RFA,36,36,30,19.5,7.2,14.4,50.10%,6.4,12.1,52.50%,0.9,2.3,37.30%,4.2,5.2,81.30%,1.8,7.6,9.4,2.1,1.7,1.4,1.9,2.1
Kelsey Mitchell K Mitchell,200000,--,31,31,32.6,18.4,6.3,14.4,43.80%,4,8.7,45.80%,2.3,5.7,40.90%,3.4,3.9,86.10%,0.5,1.5,1.9,4.2,2.4,0.9,0.2,2.3
Nneka Ogwumike N Ogwumike,196267,Core,34,34,31.4,18.1,7.3,13.5,54.40%,6.7,11.8,56.90%,0.6,1.7,36.80%,2.8,3.4,82.60%,1.4,5.2,6.6,2,1.8,1.7,0.4,2.4
Sabrina Ionescu S Ionescu,76297,--,36,36,32.3,17.4,5.9,14.3,41.10%,3.6,7.3,48.50%,2.3,6.9,33.30%,3.4,3.6,93.10%,1,6.1,7.1,6.3,3,1.1,0.3,2.1
Elena Delle Donne E Delle Donne,227900,--,25,25,27.8,17.2,6.2,12.9,48.00%,4.8,9.1,52.60%,1.4,3.8,36.80%,3.4,3.7,91.30%,1.2,5.1,6.3,2.3,1.1,0.5,1.1,1.4
Diana Taurasi D Taurasi,228094,UFA,31,31,31,16.7,4.8,13,37.30%,1.9,4.2,45.00%,3,8.8,33.70%,4.1,4.6,89.40%,0.3,3.2,3.4,3.9,2.7,0.7,0.6,2.9
Jewell Loyd J Loyd,228094,Core,36,36,30.3,16.3,5.6,14.1,39.60%,3.3,8.1,40.30%,2.3,6.1,38.50%,2.8,3.1,89.30%,0.6,2.1,2.6,3.4,2.2,1.1,0.2,1.8
Rhyne Howard R Howard,72141,Rookie,34,34,31.3,16.2,5.4,15,36.10%,2.9,7.7,37.90%,2.5,7.3,34.30%,2.9,3.7,79.20%,0.8,3.7,4.5,2.8,1.6,1.6,0.8,2.6
Jackie Young J Young,72141,--,34,34,33.2,15.9,5.6,11.8,47.60%,4.1,8.4,49.50%,1.5,3.4,43.10%,3.2,3.8,85.90%,1.3,3.1,4.4,3.9,1.3,1.4,0.2,2.4
Kahleah Copper K Copper,200000,Core,31,31,28.8,15.7,5.7,11.8,48.10%,4.5,8.5,52.80%,1.2,3.3,35.60%,3.2,4.2,77.50%,1,4.6,5.7,2.3,2,0.5,0,2.4
Natasha Howard N Howard,221450,Core,35,35,29.9,15.1,5.9,12.2,48.20%,5,9.6,52.50%,0.9,2.6,32.60%,2.5,3.5,71.50%,2,5.3,7.3,2.3,3.2,1.3,1,3.1
Tiffany Hayes T Hayes,215000,UFA,12,11,25.2,14.8,5.5,10.1,54.50%,4,6.6,60.80%,1.5,3.5,42.90%,2.3,3.4,68.30%,0.3,3.1,3.3,1.9,1.8,0.7,0.1,2.8
Tina Charles T Charles,56673,UFA,34,26,28.9,14.8,5.8,12.7,45.70%,4.7,9.5,49.20%,1.1,3.2,35.50%,2,2.4,82.70%,1.5,5.8,7.3,2,2.1,0.7,0.7,2.8
Tina Charles T Charles,34285,UFA,34,26,28.9,14.8,5.8,12.7,45.70%,4.7,9.5,49.20%,1.1,3.2,35.50%,2,2.4,82.70%,1.5,5.8,7.3,2,2.1,0.7,0.7,2.8
Ariel Atkins A Atkins,170000,--,36,36,30,14.6,5.1,12.2,42.00%,3.2,6.9,46.40%,1.9,5.3,36.50%,2.4,2.9,84.50%,0.9,2.3,3.3,2.3,1.4,1.3,0.3,2.8
Jonquel Jones J Jones,205000,Core,33,32,26.4,14.6,5.3,10.4,51.30%,4.1,7,58.20%,1.2,3.4,36.90%,2.7,3.4,80.20%,2.6,6,8.6,1.8,2.6,1.1,1.2,2.7
Aerial Powers A Powers,196267,UFA,35,31,27,14.4,4.9,12.6,38.50%,3.9,9.5,41.00%,0.9,3.1,30.80%,3.8,4.6,81.50%,1.3,3.4,4.7,2.9,2.6,1.2,0.3,1.8
